sequence_id	AJ63_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ63_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ72_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ72_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ75_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ75_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ78_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ78_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ99_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ99_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK01_EKDL240003470-1A_223JWCLT4_L2.lib2	AK01_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK03_EKDL240003470-1A_223JWCLT4_L2.lib2	AK03_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK05_EKDL240003470-1A_223JWCLT4_L2.lib2	AK05_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK12_EKDL240003470-1A_223JWCLT4_L2.lib2	AK12_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK13_EKDL240003470-1A_223JWCLT4_L2.lib2	AK13_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK14_EKDL240003470-1A_223JWCLT4_L2.lib2	AK14_EKDL240003470-1A_22JVFTLT3_L1.lib1
Erlan_8:bin_000031	1459152	2121260	492435	1690373	264925	1524334	374712	1950236	714002	2104185	9266	28632	1295227	2127854	386389	1904915	5490	21073	558902	2079472	39944	561367
Erlan_8:bin_000032	178560	1823988	10397	47358	13056	118418	634922	3475687	18747	258251	112744	1246054	997938	3662632	124102	1478020	24387	293624	82846	1032270	117840	1437949
Erlan_8:bin_000033	430232	3062543	117625	678161	12828	189878	2339603	4136063	323156	2603825	648293	3409566	2668438	4136897	502724	3263770	100723	970846	141653	1405408	171513	1672829
Erlan_8:bin_000035	515852	2524062	105111	648962	6446	53903	576906	2684166	31353	381354	4356	11467	610147	2620821	176197	1659536	2195	6236	77823	946894	99878	1220583
Erlan_8:bin_000036	416919	1721306	84654	483907	23446	192975	295564	1626777	73868	874549	161593	1279088	591448	1755104	118884	1072492	56598	645972	23908	253960	118304	1151144
Erlan_8:bin_000037	226718	1680024	204115	1076109	17887	147160	263940	1936969	145028	1246273	5642	24470	907330	2354583	238539	1733166	3118	13246	145694	1316685	58195	756059
Erlan_8:bin_000041	783221	2663947	44382	201861	130922	1093219	981098	3013980	117063	1216335	84703	661786	1285450	3022329	491843	2586877	14360	155300	186837	1772619	93967	1115987
Erlan_8:bin_000044	9083	87431	22557	119978	150	1925	295998	1494185	248	2359	449	1387	665265	1574349	2219	19886	0	441	316	2207	55635	695039
Erlan_8:bin_000045	636889	3532603	1311464	4336876	312879	2280922	1593627	5768093	543675	3089094	110691	247228	4681918	6012093	1602490	5302773	103468	219210	686253	3651083	900067	5199846
Erlan_8:bin_000046	193176	1606787	16874	128966	30907	328630	222390	1709477	47781	615830	252601	1791190	675600	2292840	54765	660108	65220	769546	298578	2002465	151384	1431129
Erlan_8:bin_000048	277154	2157258	1193772	4098613	513343	3194644	896119	4716168	451356	3420452	36462	69902	3695453	5203857	1302449	4561562	32482	66998	551695	3909334	760269	4624165
Erlan_8:bin_000049	7218	73695	8858	69450	2613716	3754481	643	6748	50865	653135	7738	120075	1615087	3849264	1049249	3423134	719	998	365	1549	136	588
Erlan_8:bin_000050	47852	366352	26469	90399	9658	55559	168428	954277	1360	13782	779	2586	266326	1082759	15710	104265	1774	4585	1415	5593	204074	1053230
Erlan_8:bin_000052	11664	73909	21459	77650	912	2110	355848	1681894	900	9346	586	5971	417728	1644218	3514	13399	600	1662	2207	15160	82252	787416
Erlan_8:bin_000054	191508	1357004	18817	120787	3055	35621	341467	1688557	7136	121371	2464	10603	313980	1565269	9729	110724	650	6579	12179	131107	13490	161008
Erlan_8:bin_000056	505083	2985708	374539	1989889	76424	639844	944362	3726641	95768	1035099	39963	239446	1951483	3920629	465810	2604310	20546	134935	200843	1808252	245791	2367558
Erlan_8:bin_000058	1168014	3581419	640342	2408951	278931	1952971	2044055	3762792	347752	2377741	46547	111086	3503826	3802015	2221082	3642388	45471	103229	376637	2357041	1077697	3594306
Erlan_8:bin_000059	9198	108138	54612	318742	1324	11906	141526	1178573	2837	19524	79626	862579	472497	1606936	17231	162738	10205	128710	5771	21393	27950	354678
Erlan_8:bin_000060	358154	2384245	292765	1517256	657	11081	293041	2276600	304436	2244229	9899	42558	812590	2830730	13289	59509	4896	28685	399249	2504442	47340	602755
Erlan_8:bin_000061	245845	1862377	156623	888801	13019	91921	335303	2433067	80676	883308	30902	318415	627678	2802694	152182	1413028	7724	56659	100829	1055772	33535	513778
Erlan_8:bin_000064	45920	543071	12516	63451	30194	312178	1148059	3769916	7393	68293	859219	3431285	506537	3029369	451847	2882209	52695	610779	7625	104312	10428	135127
Erlan_8:bin_000070	152382	1124093	23969	118956	6080	40641	151966	1164413	152613	1150822	9470	35558	420756	1529598	21263	84663	5989	23389	153563	1220429	25485	315622
Harpea_6:bin_000001	803098	2853010	675096	2368980	29280	292646	451090	2596045	1093770	2877032	6020	14967	1329187	2902638	2225684	2991309	3960	11770	1563642	2889738	171436	1706967
Harpea_6:bin_000004	2910	36453	47325	368114	3081362	5508958	44	5673	131	7735	1393	5455	1016	13091	68828	938559	150	572	84	1124	0	1471
Harpea_6:bin_000005	1484	2505	1313	2638	3550771	6574447	1882	39835	925	2484	663	3362	3711	22216	4234	61762	432	1635	643	2526	504	1323
