sequence_id	AJ63_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ63_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ72_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ72_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ75_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ75_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ78_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ78_EKDL240003470-1A_22JVFTLT3_L1.lib1	AJ99_EKDL240003470-1A_223JWCLT4_L2.lib2	AJ99_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK01_EKDL240003470-1A_223JWCLT4_L2.lib2	AK01_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK03_EKDL240003470-1A_223JWCLT4_L2.lib2	AK03_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK05_EKDL240003470-1A_223JWCLT4_L2.lib2	AK05_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK12_EKDL240003470-1A_223JWCLT4_L2.lib2	AK12_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK13_EKDL240003470-1A_223JWCLT4_L2.lib2	AK13_EKDL240003470-1A_22JVFTLT3_L1.lib1	AK14_EKDL240003470-1A_223JWCLT4_L2.lib2	AK14_EKDL240003470-1A_22JVFTLT3_L1.lib1
Harpea_6:bin_000022	13218	188743	1801	24794	3636	48489	20778	299627	1810	24425	6197	91432	44839	620058	19913	312231	7100	94867	3705	58030	233	3220
Harpea_6:bin_000023	1079	15747	16056	234104	78459	1027889	48	482	647	8257	98	1245	654	9457	7147	113220	0	8	30	290	0	5
Harpea_6:bin_000024	2883	39836	6532	93666	1623	20534	32142	452674	4091	56409	36	576	125671	1768519	29339	447213	18	388	7796	120157	8800	125605
Harpea_6:bin_000025	45	793	51	738	713	9044	14	224	217	2990	593	8556	2916	41604	28890	443385	4	116	16	360	0	26
Harpea_6:bin_000028	12219	170649	872	12825	2987	38543	20355	298026	436	5249	488	7179	27988	395464	18458	274208	262	3179	770	12025	1263	17119
Harpea_6:bin_000030	1442	20984	10572	150248	2445	31485	9613	139469	1329	20016	987	14518	36027	511329	61895	1001324	681	8769	1921	30902	3132	44753
Harpea_6:bin_000032	3977	56876	5998	83731	5788	81626	36	359	77	907	626	8481	129	1889	1265	19849	72	844	1	40	3	32
Harpea_6:bin_000034	46	565	27	555	14439	185977	50	659	27	378	45	545	107	1511	42	706	3	75	25	365	4	53
Harpea_6:bin_000035	4486	64271	2626	37269	988	13136	817	12822	6137	83601	262	3837	4073	54647	19199	283988	391	5647	6087	90210	330	4577
Harpea_6:bin_000039	761	9941	372	5485	807	10776	536	7297	1186	16625	14	137	841	11826	11764	174176	4	56	933	14339	149	2064
Harpea_6:bin_000040	348	5046	88	1766	663	8927	616	8425	36	709	371	6089	1178	15393	9639	138603	79	1054	33	758	33	608
Harpea_6:bin_000041	8881	131320	5028	73116	1014	13856	1639	22504	6198	86249	61	605	5494	80684	11192	171532	35	556	6060	96478	327	5423
